film_id,film_name,film_length_minutes,genre
F101,Wonder Woman,107,Fantasy
F011,Star Wars: The Force Awakens,117,Adventure
F005,Titanic,125,Drama
F082,Fast Five,89,Musical
F098,Dune,141,Action
F066,The Hunger Games: Catching Fire,93,Drama
F031,The Lord of the Rings: The Return of the King,135,Action
F034,The Hobbit: The Battle of the Five Armies,109,Animation
F094,Deadpool 2,75,Horror
F012,Star Wars: The Last Jedi,87,Musical
F048,Black Panther,118,Thriller
F043,Captain America: Civil War,92,Animation
F001,Avatar,132,Horror
F079,Fast & Furious,112,Horror
F019,The Matrix Reloaded,126,Comedy
F065,The Hunger Games,121,Adventure
F068,The Hunger Games: Mockingjay - Part 2,106,Family
F080,2 Fast 2 Furious,130,Horror
F056,Frozen,98,Musical
F045,Thor: Ragnarok,90,Musical
