film_id,film_name,budget_usd,marketing_spend_usd,social_mentions,first_week_views,genre,avg_rating
F001,Avatar,13292918,6351641,7647,375507,Horror,3.28
F002,Avatar: The Way of Water,1493656,656878,3815,31460,Adventure,4.75
F003,Avengers: Endgame,314288089,45745448,44818,3967487,Action,3.94
F004,Avengers: Infinity War,19762189,3578005,1552,307809,Fantasy,3.66
F005,Titanic,23345864,9416068,9551,1387033,Drama,3.08
F006,Jurassic Park,66471358,8424304,7223,1430773,Drama,3.79
F007,Jurassic World,2323350,633878,2278,31729,Sci-Fi,3.94
F008,Star Wars: A New Hope,43664735,5815466,7292,232954,Adventure,3.35
F009,The Empire Strikes Back,1366727,268423,100,39911,Horror,3.64
F010,Return of the Jedi,6963114,2048640,2696,66871,Comedy,4.78
F011,Star Wars: The Force Awakens,207364451,28911178,30973,5502482,Adventure,3.13
F012,Star Wars: The Last Jedi,11895896,1215059,1877,132265,Musical,3.11
F013,Star Wars: The Rise of Skywalker,8569331,1682438,3307,389163,Family,3.85
F014,Inception,2284455,847441,1570,191446,Action,3.89
F015,The Dark Knight,36999724,8968491,9142,793635,Action,3.92
F016,Batman Begins,528079637,85644749,88600,6013509,Adventure,3.14
F017,The Dark Knight Rises,7400385,906914,2737,185062,Drama,3.34
F018,The Matrix,476076775,139349580,137945,9768225,Drama,3.77
F019,The Matrix Reloaded,284475125,124409154,124419,13908036,Comedy,3.4
F020,The Matrix Revolutions,2288738,462157,139,70071,Musical,4.27
F021,Harry Potter and the Sorcerer's Stone,12327891,6007405,2169,496071,Action,3.07
F022,Harry Potter and the Chamber of Secrets,67405137,18617673,18232,971857,Comedy,3.88
F023,Harry Potter and the Prisoner of Azkaban,905631171,143927318,146212,10418142,Drama,4.31
F024,Harry Potter and the Goblet of Fire,12686721,4244185,5417,212998,Horror,4.5
F025,Harry Potter and the Order of the Phoenix,9169384,1228086,1427,197555,Comedy,3.03
F026,Harry Potter and the Half-Blood Prince,34377886,5222794,3098,907825,Family,3.7
