user_id,film_id,film_name,watch_minutes,watch_date,country,cost_of_ticket
U168,F065,The Hunger Games,13,2025-06-15,BR,10
U036,F034,The Hobbit: The Battle of the Five Armies,9,2025-07-27,MX,10
U150,F079,Fast & Furious,10,2025-08-02,IN,15
U036,F068,The Hunger Games: Mockingjay - Part 2,89,2025-07-10,UK,8
U221,F082,Fast Five,48,2025-04-14,CA,20
U109,F045,Thor: Ragnarok,33,2025-03-22,IN,15
U120,F068,The Hunger Games: Mockingjay - Part 2,23,2025-05-09,MX,12
U003,F082,Fast Five,89,2025-08-27,MX,12
U197,F048,Black Panther,29,2025-04-03,DE,15
U117,F101,Wonder Woman,90,2025-05-12,MX,8
U130,F082,Fast Five,25,2025-08-13,DE,8
U130,F045,Thor: Ragnarok,21,2025-04-25,CA,10
U042,F080,2 Fast 2 Furious,40,2025-07-19,US,15
U126,F101,Wonder Woman,19,2025-04-03,FR,8
U213,F012,Star Wars: The Last Jedi,59,2025-05-06,US,12
U146,F005,Titanic,43,2025-03-27,BR,20
U195,F080,2 Fast 2 Furious,17,2025-04-07,CA,15
U243,F080,2 Fast 2 Furious,130,2025-04-17,DE,12
U156,F079,Fast & Furious,27,2025-04-29,MX,8
U177,F031,The Lord of the Rings: The Return of the King,52,2025-05-24,IN,15
U167,F043,Captain America: Civil War,92,2025-06-26,MX,12
U064,F034,The Hobbit: The Battle of the Five Armies,53,2025-03-22,FR,8
U142,F034,The Hobbit: The Battle of the Five Armies,6,2025-08-03,AU,8
U182,F011,Star Wars: The Force Awakens,117,2025-05-03,UK,20
U221,F048,Black Panther,58,2025-03-24,MX,12
U172,F065,The Hunger Games,24,2025-04-29,MX,15
U240,F056,Frozen,7,2025-07-31,BR,15
U122,F079,Fast & Furious,88,2025-04-23,UK,12
U111,F043,Captain America: Civil War,44,2025-06-22,IN,12
U187,F011,Star Wars: The Force Awakens,44,2025-08-25,UK,10
U187,F048,Black Panther,118,2025-04-02,AU,10
U138,F019,The Matrix Reloaded,97,2025-04-10,IN,10
U119,F034,The Hobbit: The Battle of the Five Armies,8,2025-03-25,BR,15
U220,F080,2 Fast 2 Furious,24,2025-03-31,US,12
U139,F101,Wonder Woman,15,2025-03-29,AU,15
U125,F065,The Hunger Games,82,2025-04-29,IN,10
U043,F001,Avatar,2,2025-03-06,IN,12
U201,F019,The Matrix Reloaded,53,2025-05-18,IN,12
U188,F080,2 Fast 2 Furious,93,2025-08-22,BR,12
U076,F031,The Lord of the Rings: The Return of the King,135,2025-03-20,JP,15
U016,F048,Black Panther,24,2025-03-20,US,10
U129,F068,The Hunger Games: Mockingjay - Part 2,91,2025-04-15,US,12
U021,F066,The Hunger Games: Catching Fire,5,2025-03-23,JP,8
U221,F034,The Hobbit: The Battle of the Five Armies,102,2025-06-17,UK,10
U146,F034,The Hobbit: The Battle of the Five Armies,7,2025-08-01,JP,10
U021,F079,Fast & Furious,28,2025-08-21,JP,12
U081,F094,Deadpool 2,59,2025-04-27,FR,20
U102,F098,Dune,11,2025-08-24,DE,12
U238,F005,Titanic,16,2025-03-08,BR,15
U145,F082,Fast Five,57,2025-03-24,MX,12
U068,F098,Dune,89,2025-06-03,UK,12
U095,F012,Star Wars: The Last Jedi,44,2025-04-15,BR,8
U181,F012,Star Wars: The Last Jedi,51,2025-08-09,MX,10
